nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Brasil,213993437,8515767,América
Chile,19116201,756102,América
México,126014024,1964375,América
Colombia,51049498,1141748,América
Alemania,83149300,357022,Europa
Francia,67413000,551695,Europa
España,47415750,505990,Europa
Italia,60367477,301340,Europa
Reino Unido,67886011,243610,Europa
Japón,125800000,377975,Asia
China,1412600000,9596960,Asia
India,1380004385,3287263,Asia
Rusia,145934462,17098242,Europa
Australia,25499884,7692024,Oceanía
Canadá,38005238,9984670,América
Nigeria,218541212,923768,África
Sudáfrica,60041994,1219090,África
Egipto,102334404,1010408,África
